"Item","Qty","Reference(s)","Value","Size","Mouser P/N","URL"
"Capacitor","14","C53, C54, C55, C56, C90, C91, C97, C98, C99, C100, C101, C106, C108, C114","0.1uF","0603","581-06035G104Z","https://mou.sr/44embap"
"Capacitor","2","C109, C110","47pF","0603","581-06035A470J","https://mou.sr/3XnkNjh"
"Capacitor","2","C113, C147","470pF","0603","963-MAASL063SB7471MF","https://mou.sr/3NHWd9u"
"Capacitor","1","C115","25nF","0603","81-GRM1887U1A243JA1D","https://mou.sr/43SleED"
"Polarised Capacitor","1","C116","47uF 16v","L 6mm, Dia 6mm","710-865230343004","https://mou.sr/43SeaYH"
"Polarised Capacitor","1","C129","10uF 16v","L 6mm, Dia 4mm","710-865230340001","https://mou.sr/3qVU6Go"
"Fuse","1","F1","30R090","","650-RUEF090","https://mou.sr/3pjimBF"
"Oscillator","1","G2","OSC48MHZ","7 x 5mm","449-LFSPXO019884REEL","https://mou.sr/3Podjuu"
"USB Port","1","J11","","","649-73725-0110BLF","https://mou.sr/3Js0vzr"
"Ferrite Bead","3","L18, L22, L24","?","0805","81-BLM21PG121SN1D","https://mou.sr/3Xjtf2V"
"Ferrite Bead","2","LP1","?","1008","81-BLM21PG121SN1D","https://mou.sr/3Xjtf2V"
"Resistor","2","R5, R61","15K","0603","ASC0603-15KFT5","https://mou.sr/3Ps5TX4"
"Resistor","2","R43, R50","33","0805","755-SFR10EZPF33R0","https://mou.sr/3JLzkjt"
"Resistor","1","R62","1M","0603","603-RC0603FR-071ML","https://mou.sr/3XqpfxW"
"Resistor","3","R146, R147, R148","10K","0603","603-AC0603JR-07110KL","https://mou.sr/443RwMY"
"Resistor","1","R75","10K","0805","603-RC0805FR-0710KL","https://mou.sr/3CCjgfT"
"IC","1","U6","CMD-USB0670/OPTi FireLink 82C861","LQFP-100","",""
